age,income,loan_amount,loan_term_months,credit_score,num_open_accounts,num_derogatory_marks,delinquencies_2y,debt_to_income,employment_length_years,home_ownership,default
27,94800.0,19900.0,24,511.0,1,1,1,21.0,18,RENT,0
73,31000.0,10900.0,36,790.0,3,0,1,35.2,21,OWN,0
24,104300.0,17300.0,48,726.0,6,0,0,16.6,27,MORTGAGE,0
40,36600.0,3500.0,60,668.0,3,0,1,9.6,3,MORTGAGE,1
74,66100.0,23600.0,60,667.0,2,0,0,35.7,25,MORTGAGE,0
34,85000.0,1800.0,36,757.0,5,1,0,2.1,8,MORTGAGE,0
38,62100.0,10600.0,36,779.0,3,0,0,17.1,27,MORTGAGE,0
31,42500.0,31800.0,36,731.0,7,0,1,74.8,23,MORTGAGE,1
54,51200.0,15400.0,36,574.0,3,0,0,30.1,20,MORTGAGE,0
41,53400.0,16100.0,36,701.0,1,0,0,30.1,27,RENT,0
72,73600.0,24700.0,36,622.0,3,0,1,33.6,11,RENT,1
45,75900.0,12900.0,36,680.0,0,0,0,17.0,5,RENT,0
65,95900.0,5000.0,48,648.0,6,0,0,5.2,22,RENT,0
46,48400.0,20900.0,48,794.0,1,1,0,43.2,11,OWN,0
69,107400.0,25500.0,48,753.0,4,0,0,23.7,0,RENT,0
59,31600.0,12800.0,48,625.0,3,0,0,40.5,21,MORTGAGE,0
66,91200.0,12900.0,36,702.0,2,0,0,14.1,9,OWN,0
59,52500.0,33200.0,24,653.0,2,0,0,63.2,22,MORTGAGE,0
33,92800.0,7800.0,36,745.0,3,0,0,8.4,15,MORTGAGE,0
69,79000.0,11600.0,36,621.0,2,0,0,14.7,15,OTHER,0
44,28400.0,1000.0,36,582.0,5,0,0,3.5,1,RENT,0
74,66300.0,13800.0,36,441.0,2,0,0,20.8,27,RENT,0
58,59400.0,10300.0,36,687.0,2,1,0,17.3,18,OTHER,0
60,20500.0,16500.0,60,569.0,4,0,0,80.5,22,OWN,0
23,64100.0,16200.0,48,506.0,4,0,0,25.3,24,MORTGAGE,0
32,50100.0,12700.0,60,778.0,6,0,0,25.3,3,RENT,0
31,60800.0,3700.0,36,624.0,3,0,1,6.1,13,MORTGAGE,0
39,59900.0,10600.0,36,850.0,6,1,0,17.7,9,OWN,0
30,37800.0,8300.0,36,708.0,2,0,1,22.0,16,OWN,0
23,46700.0,16200.0,48,739.0,2,0,0,34.7,12,MORTGAGE,0
50,45500.0,36500.0,48,595.0,6,0,0,80.2,24,RENT,0
28,88400.0,8200.0,60,661.0,3,0,0,9.3,29,OWN,0
35,65800.0,18000.0,36,622.0,3,0,0,27.4,27,RENT,0
39,45800.0,21000.0,48,743.0,4,1,0,45.9,9,RENT,0
18,48500.0,15800.0,36,648.0,1,0,1,32.6,4,RENT,1
24,70500.0,4900.0,48,769.0,1,0,0,7.0,24,MORTGAGE,0
71,114500.0,14900.0,24,573.0,3,0,0,13.0,20,RENT,0
47,62200.0,21700.0,36,694.0,6,0,1,34.9,5,MORTGAGE,0
42,75000.0,4800.0,60,614.0,3,0,0,6.4,17,MORTGAGE,0
39,17700.0,27500.0,48,582.0,6,0,0,155.4,21,MORTGAGE,0
26,75200.0,1800.0,12,726.0,5,0,0,2.4,3,RENT,0
72,72000.0,1000.0,36,780.0,2,1,0,1.4,21,MORTGAGE,0
37,55500.0,13500.0,48,711.0,1,0,0,24.3,29,RENT,0
22,37000.0,15900.0,60,725.0,3,0,0,43.0,26,MORTGAGE,0
68,79900.0,22200.0,48,661.0,5,0,0,27.8,29,OWN,0
32,82900.0,26100.0,36,688.0,4,1,0,31.5,4,OWN,0
30,51300.0,1000.0,48,814.0,3,0,1,1.9,5,MORTGAGE,0
74,92500.0,14500.0,48,679.0,4,1,1,15.7,22,OWN,0
59,49100.0,27300.0,48,662.0,1,0,1,55.6,23,RENT,0
66,55200.0,26300.0,48,650.0,8,0,1,47.6,14,MORTGAGE,0
24,79700.0,17800.0,36,689.0,2,0,0,22.3,15,MORTGAGE,0
23,76600.0,1000.0,60,670.0,4,0,0,1.3,17,OWN,0
52,59000.0,1000.0,48,643.0,0,0,0,1.7,5,RENT,0
60,67800.0,17700.0,12,729.0,1,0,0,26.1,13,MORTGAGE,0
56,58300.0,26600.0,36,667.0,2,2,0,45.6,18,RENT,0
43,76300.0,15800.0,36,730.0,1,0,0,20.7,14,RENT,0
72,56900.0,1000.0,48,712.0,4,0,0,1.8,4,OWN,0
37,42800.0,28900.0,36,749.0,0,0,0,67.5,9,OWN,0
38,40300.0,30000.0,48,650.0,3,0,1,74.4,19,MORTGAGE,0
26,87600.0,34400.0,60,686.0,4,1,1,39.3,28,OWN,0
70,56100.0,28700.0,60,672.0,2,1,0,51.2,22,RENT,1
34,47800.0,12000.0,48,652.0,0,0,0,25.1,19,RENT,0
59,46400.0,12500.0,48,802.0,4,1,1,26.9,19,MORTGAGE,0
54,8000.0,22300.0,24,671.0,3,0,0,278.8,17,OTHER,0
27,36600.0,5800.0,60,726.0,3,0,0,15.8,27,RENT,0
24,55900.0,17200.0,60,751.0,0,1,0,30.8,28,RENT,0
50,80700.0,1000.0,60,687.0,4,1,0,1.2,5,RENT,0
63,41600.0,22500.0,48,598.0,3,0,0,54.1,2,MORTGAGE,0
26,53000.0,25700.0,60,779.0,4,0,0,48.5,8,MORTGAGE,0
33,74700.0,21700.0,24,610.0,2,0,1,29.0,14,RENT,0
68,59300.0,26100.0,36,542.0,1,0,0,44.0,17,OTHER,0
43,60900.0,9600.0,36,639.0,3,0,1,15.8,1,RENT,0
66,67400.0,9100.0,36,632.0,3,0,0,13.5,20,RENT,0
33,54700.0,10800.0,36,736.0,2,0,0,19.7,0,MORTGAGE,0
71,87100.0,3400.0,48,746.0,6,0,1,3.9,10,MORTGAGE,0
39,103100.0,16900.0,36,574.0,1,0,1,16.4,29,RENT,0
25,88100.0,8900.0,48,575.0,8,0,0,10.1,3,MORTGAGE,0
26,52500.0,6700.0,36,663.0,1,0,0,12.8,5,MORTGAGE,0
55,87100.0,19100.0,12,524.0,2,0,0,21.9,28,MORTGAGE,1
27,74000.0,11800.0,48,739.0,0,0,0,15.9,24,OWN,0
46,81300.0,9400.0,12,606.0,6,0,0,11.6,23,RENT,0
26,23900.0,19900.0,36,669.0,5,0,0,83.3,7,MORTGAGE,0
34,70400.0,1000.0,60,734.0,3,0,1,1.4,22,OWN,0
28,8000.0,8400.0,48,566.0,3,0,0,105.0,26,OWN,0
22,98900.0,1300.0,24,767.0,6,0,0,1.3,21,MORTGAGE,0
27,31200.0,28300.0,24,632.0,1,0,0,90.7,7,OWN,0
59,37500.0,15700.0,36,638.0,4,0,0,41.9,23,OWN,0
35,9000.0,16200.0,36,789.0,0,2,1,180.0,16,OWN,0
38,83600.0,20500.0,24,631.0,1,1,1,24.5,17,RENT,0
34,65000.0,12100.0,60,674.0,4,0,0,18.6,20,MORTGAGE,0
67,69500.0,29900.0,24,845.0,4,0,1,43.0,27,RENT,1
69,89100.0,19800.0,48,685.0,4,0,0,22.2,20,MORTGAGE,0
60,69200.0,18200.0,48,602.0,3,0,0,26.3,17,RENT,0
47,54000.0,31900.0,48,793.0,1,0,0,59.1,15,RENT,0
59,55700.0,1000.0,60,625.0,5,0,0,1.8,4,OWN,0
26,73800.0,24100.0,36,709.0,2,0,0,32.7,29,RENT,0
70,24400.0,9100.0,36,692.0,1,0,0,37.3,0,MORTGAGE,0
28,62800.0,4200.0,36,725.0,2,0,1,6.7,1,MORTGAGE,1
72,39600.0,1000.0,60,664.0,3,0,0,2.5,16,MORTGAGE,0
55,32600.0,16800.0,36,790.0,3,1,0,51.5,9,MORTGAGE,0
54,69800.0,14100.0,36,721.0,4,0,1,20.2,24,RENT,0
28,53300.0,7000.0,36,747.0,1,0,0,13.1,1,RENT,0
37,45800.0,15200.0,48,677.0,3,0,0,33.2,12,OWN,0
24,63000.0,16000.0,60,642.0,1,0,0,25.4,21,MORTGAGE,0
60,22300.0,8700.0,48,679.0,5,0,0,39.0,14,MORTGAGE,0
45,55700.0,16200.0,36,755.0,3,0,0,29.1,8,RENT,0
22,83300.0,6000.0,36,633.0,2,0,1,7.2,9,MORTGAGE,0
62,98900.0,15000.0,48,667.0,4,1,0,15.2,6,MORTGAGE,0
57,8000.0,16600.0,60,701.0,3,0,0,207.5,22,MORTGAGE,0
70,82300.0,1000.0,48,584.0,0,0,1,1.2,12,OWN,0
33,8000.0,21100.0,60,653.0,2,0,0,263.8,22,RENT,0
52,40900.0,7400.0,48,574.0,4,1,0,18.1,12,RENT,0
58,55900.0,4400.0,48,703.0,2,0,0,7.9,2,MORTGAGE,0
37,73100.0,24700.0,60,591.0,2,0,1,33.8,19,RENT,0
74,78700.0,8900.0,48,628.0,1,0,0,11.3,15,OTHER,0
59,39600.0,3000.0,48,801.0,2,0,0,7.6,1,RENT,0
74,52800.0,29000.0,48,665.0,8,0,0,54.9,19,RENT,0
25,59800.0,19700.0,36,753.0,6,1,0,32.9,2,OTHER,0
64,45300.0,9600.0,36,678.0,6,1,0,21.2,25,MORTGAGE,0
49,86800.0,18300.0,48,755.0,4,0,0,21.1,1,OTHER,0
36,43900.0,16800.0,24,744.0,1,1,0,38.3,6,RENT,0
65,90800.0,21100.0,60,607.0,3,1,0,23.2,6,OWN,0
57,73800.0,27300.0,24,619.0,7,0,0,37.0,13,OWN,0
67,75900.0,24100.0,36,571.0,1,0,1,31.8,18,MORTGAGE,0
36,38200.0,1000.0,36,623.0,2,0,0,2.6,28,MORTGAGE,0
46,98100.0,18300.0,36,651.0,5,1,0,18.7,23,OWN,0
48,51300.0,6600.0,48,670.0,7,0,0,12.9,21,MORTGAGE,0
27,69100.0,11500.0,60,658.0,1,0,1,16.6,5,MORTGAGE,0
28,62900.0,9500.0,36,654.0,2,0,0,15.1,21,OWN,0
37,57900.0,23700.0,36,659.0,4,0,0,40.9,2,OWN,1
62,43900.0,9800.0,48,638.0,4,0,2,22.3,18,OTHER,0
52,76100.0,22300.0,60,671.0,1,0,1,29.3,9,MORTGAGE,0
48,8000.0,13600.0,60,676.0,2,0,0,170.0,13,MORTGAGE,0
42,18500.0,7700.0,60,791.0,7,0,0,41.6,1,OWN,0
25,70600.0,13700.0,48,745.0,4,0,2,19.4,14,OWN,0
38,28800.0,18400.0,36,685.0,3,0,0,63.9,5,RENT,0
28,55500.0,1600.0,36,741.0,1,0,0,2.9,23,OTHER,0
52,98200.0,13900.0,24,757.0,2,0,0,14.2,18,RENT,0
27,62000.0,1200.0,60,598.0,2,0,0,1.9,6,MORTGAGE,0
40,74100.0,19900.0,36,648.0,2,0,0,26.9,25,MORTGAGE,0
29,59000.0,12800.0,36,763.0,2,1,0,21.7,1,RENT,0
71,79600.0,7600.0,36,727.0,5,0,1,9.5,29,MORTGAGE,0
26,75200.0,25200.0,12,711.0,5,0,0,33.5,16,RENT,0
49,96000.0,16700.0,36,636.0,3,0,1,17.4,22,MORTGAGE,0
45,89100.0,25100.0,48,642.0,4,0,0,28.2,4,MORTGAGE,0
20,83800.0,15700.0,48,663.0,7,0,0,18.7,3,OTHER,0
60,41500.0,9700.0,60,603.0,3,0,0,23.4,2,MORTGAGE,0
68,31300.0,27200.0,36,624.0,1,0,1,86.9,28,OWN,0
42,70300.0,18300.0,24,532.0,3,0,0,26.0,5,MORTGAGE,0
65,56600.0,11700.0,60,632.0,1,0,1,20.7,5,OTHER,0
52,45100.0,1000.0,60,648.0,3,0,0,2.2,5,OWN,1
59,59800.0,3700.0,36,619.0,2,0,0,6.2,3,MORTGAGE,0
40,56800.0,23400.0,60,779.0,5,1,0,41.2,14,RENT,0
39,45800.0,15300.0,36,717.0,1,0,2,33.4,10,MORTGAGE,1
20,103800.0,8500.0,60,663.0,8,0,0,8.2,7,MORTGAGE,0
42,77000.0,8600.0,36,564.0,2,0,0,11.2,13,RENT,0
44,51900.0,19600.0,48,613.0,2,0,0,37.8,7,RENT,0
52,49500.0,9400.0,48,641.0,3,0,0,19.0,24,OWN,0
71,57500.0,19700.0,36,667.0,4,1,0,34.3,1,MORTGAGE,0
36,62600.0,30200.0,36,740.0,3,0,0,48.2,23,RENT,0
71,43500.0,23200.0,48,605.0,0,0,1,53.3,16,OWN,0
68,65800.0,13900.0,36,804.0,1,0,0,21.1,5,MORTGAGE,0
69,65100.0,2500.0,48,645.0,2,0,1,3.8,2,MORTGAGE,0
52,80700.0,12400.0,24,774.0,4,0,0,15.4,20,MORTGAGE,0
41,71200.0,18000.0,36,731.0,1,0,0,25.3,24,MORTGAGE,0
35,23100.0,5200.0,48,647.0,5,0,0,22.5,25,MORTGAGE,1
60,22400.0,37500.0,36,629.0,0,0,0,167.4,14,OWN,0
73,94000.0,23200.0,36,669.0,4,0,0,24.7,4,MORTGAGE,0
70,58500.0,25600.0,36,809.0,1,0,0,43.8,19,MORTGAGE,0
25,39500.0,18900.0,36,735.0,5,0,0,47.8,10,OWN,0
63,83200.0,25800.0,60,640.0,3,1,0,31.0,23,MORTGAGE,0
57,72800.0,16600.0,60,637.0,5,0,1,22.8,10,MORTGAGE,0
66,44100.0,5000.0,24,709.0,5,0,0,11.3,3,MORTGAGE,0
61,33700.0,1000.0,36,590.0,2,1,0,3.0,3,OWN,0
28,97900.0,34100.0,48,670.0,2,0,0,34.8,25,MORTGAGE,0
72,42400.0,6000.0,48,705.0,1,0,0,14.2,13,MORTGAGE,1
43,53200.0,21400.0,60,680.0,5,0,1,40.2,19,MORTGAGE,0
73,91800.0,15900.0,36,623.0,3,0,1,17.3,13,MORTGAGE,0
37,73900.0,9900.0,60,719.0,1,0,1,13.4,29,MORTGAGE,0
45,24100.0,30800.0,36,503.0,1,1,0,127.8,0,MORTGAGE,0
24,82400.0,14200.0,36,721.0,2,0,0,17.2,21,RENT,0
33,95600.0,12200.0,60,652.0,2,0,0,12.8,19,OTHER,0
62,44200.0,18000.0,12,752.0,0,0,0,40.7,27,MORTGAGE,0
54,49000.0,15900.0,48,704.0,4,1,0,32.4,28,MORTGAGE,0
46,87800.0,4100.0,60,697.0,3,0,0,4.7,5,MORTGAGE,0
70,44400.0,17500.0,24,716.0,0,0,1,39.4,17,RENT,0
49,40200.0,3200.0,36,755.0,2,0,0,8.0,28,MORTGAGE,0
57,75800.0,12400.0,48,655.0,3,0,0,16.4,27,OWN,0
42,26100.0,10000.0,48,759.0,1,0,0,38.3,13,OWN,0
47,64900.0,19400.0,36,524.0,3,0,2,29.9,24,MORTGAGE,0
40,52400.0,22700.0,24,792.0,3,0,0,43.3,21,OWN,0
46,86800.0,7500.0,36,704.0,5,0,0,8.6,0,RENT,0
22,93900.0,1000.0,36,593.0,5,0,2,1.1,12,RENT,0
50,57200.0,31600.0,60,654.0,1,0,0,55.2,15,RENT,0
30,67400.0,10000.0,60,693.0,1,1,0,14.8,26,OWN,0
28,38800.0,31300.0,24,703.0,1,0,0,80.7,26,MORTGAGE,0
41,19700.0,8600.0,36,498.0,2,0,0,43.7,13,MORTGAGE,0
37,76800.0,1000.0,36,769.0,4,0,0,1.3,19,MORTGAGE,0
44,94000.0,1000.0,48,693.0,3,0,0,1.1,3,MORTGAGE,0
38,36600.0,20000.0,36,763.0,6,1,0,54.6,23,OTHER,0
61,84800.0,15000.0,48,673.0,3,1,0,17.7,15,OWN,0
47,87100.0,1000.0,36,574.0,3,0,0,1.1,4,MORTGAGE,0
42,55800.0,14800.0,60,704.0,1,0,0,26.5,27,MORTGAGE,0
61,47100.0,4500.0,60,519.0,0,1,0,9.6,25,OWN,0
62,84600.0,13400.0,36,676.0,2,1,0,15.8,24,MORTGAGE,0
29,50100.0,18700.0,48,677.0,5,0,0,37.3,16,MORTGAGE,0
57,73500.0,20700.0,60,703.0,4,1,1,28.2,3,MORTGAGE,0
58,90100.0,2500.0,60,741.0,1,1,1,2.8,8,RENT,0
67,62700.0,18400.0,36,745.0,3,0,0,29.3,15,MORTGAGE,0
67,74000.0,21700.0,36,731.0,2,1,1,29.3,26,MORTGAGE,0
23,24500.0,15500.0,36,697.0,3,0,0,63.3,11,MORTGAGE,0
53,83500.0,17300.0,36,656.0,4,0,0,20.7,22,RENT,0
49,89200.0,5200.0,48,614.0,1,2,0,5.8,23,MORTGAGE,0
38,21500.0,17600.0,48,536.0,0,0,1,81.9,20,MORTGAGE,0
35,28700.0,14000.0,36,735.0,4,0,0,48.8,16,MORTGAGE,0
41,61700.0,18500.0,48,659.0,4,0,0,30.0,25,RENT,0
43,87400.0,13900.0,48,696.0,3,0,0,15.9,24,MORTGAGE,1
43,84900.0,25300.0,36,705.0,4,0,0,29.8,4,OWN,0
45,44900.0,35700.0,48,616.0,2,0,2,79.5,8,MORTGAGE,0
34,38900.0,18800.0,60,743.0,2,0,1,48.3,14,RENT,1
57,24900.0,15000.0,60,585.0,5,0,0,60.2,4,RENT,0
53,50800.0,11400.0,60,700.0,3,0,0,22.4,2,MORTGAGE,0
40,33500.0,10000.0,36,645.0,3,0,0,29.9,7,MORTGAGE,0
27,54400.0,18200.0,60,753.0,2,0,1,33.5,9,MORTGAGE,0
33,20200.0,13000.0,36,520.0,3,0,0,64.4,28,MORTGAGE,0
31,100300.0,16900.0,36,850.0,1,0,0,16.8,8,RENT,0
23,59800.0,1800.0,36,582.0,4,0,0,3.0,12,MORTGAGE,0
19,64400.0,4800.0,60,633.0,4,0,0,7.5,7,RENT,0
67,72900.0,1000.0,48,667.0,1,1,0,1.4,3,OWN,0
65,70800.0,14200.0,24,734.0,5,0,0,20.1,29,RENT,0
45,24900.0,5300.0,60,678.0,3,0,0,21.3,21,RENT,0
30,61800.0,29900.0,60,654.0,3,0,0,48.4,6,MORTGAGE,0
32,93900.0,25000.0,48,664.0,3,0,0,26.6,13,MORTGAGE,0
65,89600.0,16100.0,36,770.0,5,0,0,18.0,9,RENT,0
18,71500.0,26500.0,60,695.0,1,1,0,37.1,4,RENT,1
39,66100.0,2400.0,36,665.0,3,0,1,3.6,6,MORTGAGE,0
62,39600.0,8700.0,36,748.0,2,0,0,22.0,16,MORTGAGE,0
20,66300.0,20300.0,36,680.0,4,0,0,30.6,19,OTHER,0
40,74800.0,16200.0,12,707.0,4,0,2,21.7,3,RENT,0
20,89200.0,19000.0,36,759.0,1,0,0,21.3,13,OWN,0
26,70500.0,18700.0,24,707.0,4,0,0,26.5,29,MORTGAGE,0
23,71300.0,1000.0,60,724.0,1,0,0,1.4,21,MORTGAGE,0
29,86800.0,31400.0,48,713.0,1,0,2,36.2,17,RENT,0
51,68600.0,10600.0,36,539.0,4,0,0,15.5,13,MORTGAGE,0
61,107000.0,10000.0,36,577.0,2,1,1,9.3,3,MORTGAGE,0
57,95800.0,4100.0,48,613.0,1,0,0,4.3,2,OWN,0
46,78600.0,8500.0,48,603.0,4,0,0,10.8,12,MORTGAGE,0
42,57100.0,5000.0,12,659.0,4,0,1,8.8,12,OWN,0
63,88100.0,1000.0,60,771.0,3,0,0,1.1,19,MORTGAGE,0
73,30500.0,18600.0,36,694.0,2,0,0,61.0,18,OWN,0
66,58800.0,14600.0,48,684.0,4,0,0,24.8,18,OWN,0
39,52900.0,26600.0,60,643.0,3,0,0,50.3,3,RENT,0
40,65500.0,10700.0,36,614.0,1,0,0,16.3,6,MORTGAGE,0
68,95200.0,10500.0,48,614.0,4,0,0,11.0,18,MORTGAGE,0
56,89700.0,24000.0,24,726.0,0,0,1,26.8,22,MORTGAGE,0
30,34500.0,13800.0,36,598.0,3,1,0,40.0,22,OWN,0
71,82200.0,2400.0,48,716.0,3,0,0,2.9,0,RENT,0
47,58100.0,15600.0,48,679.0,4,0,0,26.9,24,MORTGAGE,0
41,92600.0,24100.0,36,675.0,2,0,1,26.0,18,MORTGAGE,0
28,61000.0,18900.0,36,681.0,3,0,0,31.0,14,MORTGAGE,0
66,77200.0,6300.0,60,789.0,3,0,0,8.2,12,RENT,0
29,67400.0,25500.0,60,599.0,6,0,0,37.8,21,RENT,0
41,46200.0,1000.0,12,611.0,2,0,1,2.2,25,RENT,0
36,92700.0,11400.0,48,615.0,2,0,0,12.3,13,RENT,0
54,29000.0,8100.0,60,760.0,3,0,0,27.9,23,OWN,0
44,43400.0,18100.0,60,740.0,1,1,0,41.7,21,RENT,0
38,61200.0,18900.0,12,811.0,5,0,1,30.9,4,MORTGAGE,0
71,91200.0,13300.0,60,680.0,4,0,0,14.6,8,OWN,0
50,81100.0,1100.0,60,691.0,5,0,1,1.4,10,OWN,0
32,27500.0,8400.0,36,640.0,2,1,1,30.5,29,MORTGAGE,0
29,78300.0,35700.0,12,746.0,3,0,0,45.6,11,OWN,0
44,64900.0,11800.0,36,782.0,5,1,0,18.2,21,RENT,0
60,64000.0,19600.0,36,601.0,2,0,0,30.6,12,RENT,0
46,70700.0,4500.0,36,693.0,1,0,0,6.4,21,OTHER,0
39,83600.0,19500.0,60,597.0,2,0,0,23.3,18,OWN,0
61,38500.0,9600.0,60,698.0,6,0,0,24.9,28,MORTGAGE,0
37,38300.0,21100.0,36,695.0,5,0,0,55.1,23,RENT,0
41,51800.0,8300.0,60,694.0,4,0,1,16.0,20,RENT,0
33,48900.0,24100.0,36,585.0,3,0,0,49.3,29,OWN,0
19,37400.0,20000.0,12,696.0,2,1,0,53.5,28,RENT,0
24,66100.0,9300.0,36,686.0,5,1,0,14.1,12,MORTGAGE,0
73,41600.0,5900.0,48,677.0,2,0,0,14.2,9,OWN,0
34,80200.0,30000.0,60,741.0,2,0,1,37.4,24,RENT,0
22,18300.0,6700.0,48,663.0,3,0,1,36.6,28,OWN,0
28,18900.0,26300.0,24,843.0,1,0,2,139.2,11,MORTGAGE,1
61,32200.0,10300.0,60,661.0,4,0,0,32.0,12,OWN,0
34,50000.0,17900.0,36,782.0,5,0,2,35.8,15,OWN,1
59,68300.0,5400.0,36,710.0,3,0,0,7.9,24,MORTGAGE,0
53,80100.0,9200.0,36,739.0,7,0,0,11.5,12,RENT,0
42,61600.0,5600.0,12,729.0,1,0,1,9.1,17,MORTGAGE,0
21,62700.0,21400.0,36,701.0,5,0,0,34.1,26,RENT,1
72,79400.0,35000.0,36,653.0,5,0,0,44.1,15,MORTGAGE,0
60,77800.0,14900.0,60,669.0,1,0,0,19.2,8,MORTGAGE,0
27,53700.0,1000.0,60,763.0,3,0,1,1.9,25,MORTGAGE,0
67,61400.0,18900.0,60,547.0,3,0,0,30.8,3,MORTGAGE,0
30,102900.0,12000.0,60,662.0,3,0,1,11.7,14,OWN,0
59,44800.0,9500.0,48,583.0,4,0,0,21.2,18,OTHER,1
21,100500.0,2000.0,36,669.0,5,0,0,2.0,7,RENT,0
